isolate_name	collection_date	last_modified	type	lineage	originating lab	submitting lab
A/NewYork/148/2000	2000-02-09		A/H3N2		  	 Other Database Import
A/NewYork/157/1999	1999-12-15		A/H3N2		  	 Other Database Import
A/NewYork/158/2000	2000-01-17		A/H3N2		  	 Other Database Import
A/NewYork/168/2000	2000-01-03		A/H3N2		  	 Other Database Import
A/NewYork/178/2000	2000-02-29		A/H3N2		  	 Other Database Import
A/NewYork/186/1999	1999-12-24		A/H3N2		  	 Other Database Import
A/NewYork/193/2003	2003-02-19		A/H3N2		  	 Other Database Import
A/NewYork/194/2003	2003-02-05		A/H3N2		  	 Other Database Import
A/NewYork/5/2004	2004-01-06		A/H3N2		  	 Other Database Import
A/NewYork/13/2003	2003-11-12		A/H3N2		  	 Other Database Import
A/NewYork/14/2003	2003-12-03		A/H3N2		  	 Other Database Import
A/NewYork/62A/2003	2003-12-19		A/H3N2		  	 Other Database Import
A/NewYork/93/2002	2002-02-19		A/H3N2		  	 Other Database Import
A/NewYork/111/2002	2002-02-04		A/H3N2		  	 Other Database Import
A/NewYork/119/2002	2002-01-29		A/H3N2		  	 Other Database Import
A/NewYork/55/2003	2003-12-10		A/H3N2		  	 Other Database Import
A/NewYork/59/2003	2003-12-16		A/H3N2		  	 Other Database Import
A/NewYork/64/2003	2003-12-26		A/H3N2		  	 Other Database Import
A/NewYork/67/2003	2003-12-29		A/H3N2		  	 Other Database Import
A/NewYork/160/2000	2000-01-03		A/H3N2		  	 Other Database Import
A/NewYork/138/1999	1999-10-03		A/H3N2		  	 Other Database Import
A/NewYork/165/2000	2000-01-18		A/H3N2		  	 Other Database Import
A/NewYork/189/1999	1999-12-20		A/H3N2		  	 Other Database Import
A/NewYork/198/2003	2003-03-08		A/H3N2		  	 Other Database Import
A/NewYork/6/2004	2004-01-06		A/H3N2		  	 Other Database Import
A/NewYork/7/2003	2003-10-31		A/H3N2		  	 Other Database Import
A/NewYork/8/2003	2003-12-29		A/H3N2		  	 Other Database Import
A/NewYork/17/2003	2003-11-16		A/H3N2		  	 Other Database Import
A/NewYork/18/2003	2003-12-01		A/H3N2		  	 Other Database Import
A/NewYork/51/2003	2003-12-10		A/H3N2		  	 Other Database Import
A/NewYork/88/2002	2002-02-26		A/H3N2		  	 Other Database Import
A/NewYork/99/2002	2002-01-23		A/H3N2		  	 Other Database Import
A/NewYork/24/2003	2003-12-01		A/H3N2		  	 Other Database Import
A/NewYork/39/2003	2003-12-04		A/H3N2		  	 Other Database Import
A/NewYork/101/2002	2002-02-04		A/H3N2		  	 Other Database Import
A/NewYork/27/2003	2003-10-28		A/H3N2		  	 Other Database Import
